object_name,seed,params,matched_image,llm_model,text_prompt
BlockyRobot,,,,qwen3:32b,"""A square-shouldered robot with neon orange and teal plating, hinged knees and elbows, a flat head with red eyes, and a utilitarian torso with visible mechanical joints.""  "
VintageCamera,,,,qwen3:32b,"""A brown leather-clad vintage film camera with a brass lens, rubber viewfinder, manual focus ring, and a shoulder strap, featuring a textured leather finish and chrome accents.""  "
ToyBlaster,,,,qwen3:32b,"""A compact red toy blaster with a clear polycarbonate magazine, glowing blue trigger mechanism, ergonomic grip, and angular black polymer body with holographic details.""  "
DogRobot,,,,qwen3:32b,"""A chrome-finished canine robot with segmented legs, LED eyes, a streamlined body, and a tail with glowing blue circuits, standing on a reflective surface.""  "
TransistorRadio,,,,qwen3:32b,"""A small black plastic transistor radio with a mesh speaker grille, circular tuning dial, 'Volkstron' logo in silver, and retro chrome-lip design from the 1960s.""  "
Bulldozer,,,,qwen3:32b,"""A high-visibility bulldozer with a bright yellow body, black stripes, a hydraulically adjustable blade, detailed cab with a windshield, and large knobby tires on a gravel surface.""  "
SailingShip,,,,qwen3:32b,"""A historic copper-hued frigate with brown wooden deck accents, rope rigging, billowing sails, and detailed figurehead, moored in a misty harbor with waves.""  "
CartoonRocket,,,,qwen3:32b,"""A whimsical rocket with a glossy red dome, teal body with white rivets, red horizontal stripes, a retractable black antenna, and a pointed silver nose cone on a launchpad.""  "
DeliveryVan,,,,qwen3:32b,"""A boxy 1970s-style delivery van with chipped sage-green paint, oxidized roof rack, square rear windows, a dented side door, and wide whitewall tires on a gravel road.""  "
VictorianMansion,,,,qwen3:32b,"""A grand brownstone Victorian mansion with a steep gabled roof, carved wooden eaves, multi-paned bay windows, and a colonnaded wraparound porch with iron balustrades.""  "
Bookshelf,,,,qwen3:32b,"""A tall oak bookshelf with intricate acorn carvings on the frame, three adjustable slat shelves, a rounded cornice, and bracket supports with scrollwork.""  "
RockingChair,,,,qwen3:32b,"""A classic cherry wood rocking chair with curved armrests, a woven rattan seat and backrest, and a smooth arched base with carved floral motifs at the feet.""  "
GreenMonitor,,,,qwen3:32b,"""A bulky green CRT monitor with a black plastic bezel, grid-pattern screen, analog calibration knob, and a curved wooden stand with brass feet, emitting a faint glow in a dim room."""
